malware,alias
lumma stealer,lummac2 stealer
fakeupdates,fakeupdate
remcos,remcosrat
coper,exobotcompact
redline stealer,recordstealer
dcrat,darkcrystal rat
satacom,legionloader
cobalt strike,agentemis
havoc,havokiz
quasar rat,cinarat
shadowpad,poisonplug shadow
darkcomet,breut
njrat,bladabindi
plugx,destroy rat
bashlite,gayfgt
phorpiex,trik
mirai,katana
ghost rat,farfli
orcus rat,schnorchel
n w0rm,nw0rm
pony,siplog
loki password stealer  pws,burkina
qakbot,oakboat
amos,atomic macos stealer
warmcookie,badspace
netsupportmanager rat,netsupport
sectoprat,1xxbot
nanocore rat,nancrat
azorult,puffstealer
ave maria,ave maria
bumblebee,coldtrain
fakeupdates,socgholish
remcos,remvio
coper,octo
cobalt strike,beacon
quasar rat,quasarrat
shadowpad,xshellghost
darkcomet,fynloski
njrat,lime worm
plugx,kaba
bashlite,gafgyt
phorpiex,phorphiex
ghost rat,gh0st rat
n w0rm,nworm
pony,fareit
loki password stealer  pws,loki
qakbot,pinkslipbot
warmcookie,quickbind
sectoprat,arechclient
nanocore rat,nanocore
azorult,rultazo
ave maria,avemariarat
bumblebee,shellsting
remcos,socmer
cobalt strike,cobaltstrike
quasar rat,yggdrasil
darkcomet,klovbot
plugx,korplug
bashlite,qbot
ghost rat,pcrat
loki password stealer  pws,lokibot
qakbot,qbot
ave maria,warzone rat
bumblebee,shindig
cobalt strike,cobeacon
plugx,sogu
bashlite,torlus
loki password stealer  pws,lokipws
qakbot,quakbot
ave maria,warzonerat
plugx,tigerplug
bashlite,lizkebab
ave maria,avemaria
plugx,reddelta
dcrat,dcrat
vidar,vidar
satacom,satacom
akira,akira
plugx,plugx
rhadamanthys,rhadamanthys
n w0rm,n w0rm
gomorrah stealer,gomorrah stealer
warmcookie,warmcookie
meduza stealer,meduza stealer
orcus rat,orcus rat
pony,pony
nanocore rat,nanocore rat
reverserat,reverserat
lumma stealer,lumma stealer
lokibot,lokibot
fakeupdates,fakeupdates
purecrypter,purecrypter
njrat,njrat
cryptbot,cryptbot
danabot,danabot
ahmyth,ahmyth
nimplant,nimplant
remcos,remcos
sliver,sliver
moobot,moobot
bianlian,bianlian
panda stealer,panda stealer
asyncrat,asyncrat
hook,hook
amos,amos
tinyturla,tinyturla
havoc,havoc
unknown malware,unknown malware
ghost rat,ghost rat
xworm,xworm
phonk,phonk
ermac,ermac
bashlite,bashlite
venom rat,venom rat
loki password stealer  pws,loki password stealer  pws
mozi,mozi
netsupportmanager rat,netsupportmanager rat
quasar rat,quasar rat
kaiji,kaiji
sectoprat,sectoprat
whitesnake stealer,whitesnake stealer
qakbot,qakbot
amadey,amadey
scrubcrypt,scrubcrypt
cobalt strike,cobalt strike
copybara,copybara
bumblebee,bumblebee
stealc,stealc
octopus,octopus
socks5 systemz,socks5 systemz
shadowpad,shadowpad
azorult,azorult
mirai,mirai
xenorat,xenorat
coper,coper
redline stealer,redline stealer
bitrat,bitrat
wolfsbane,wolfsbane
darkcomet,darkcomet
phorpiex,phorpiex
ave maria,avemariarat exe rat
lumma stealer,lummastealer pw 7788
njrat,njrat opendir
ghost rat,hta rat
lumma stealer,lummastealer
remcos,hta remcosrat
mirai,mirai mozi
mirai,mirai rebirth botnet rebirthbotnet
mirai,mirai sh ua wget
netsupportmanager rat,netsupport netsupportrat smartapesg zip
rhadamanthys,exe rhadamanthys
remcos,exe remcosrat
lumma stealer,exe lummastealer
asyncrat,asyncrat exe
dcrat,dcrat infostealer
asyncrat,asyncrat formbook
cobalt strike,agenttesla autoinject
panda stealer,pandastealer
cobalt strike,cobaltstrike exe
cobalt strike,agenttesla exe
qakbot,zharkbot
dcrat,dcrat exe
remcos,remcosrat rev base64 loader
remcos,doc remcosrat
lumma stealer,lummastealer passwordprotected
purecrypter,purelogstealer
scrubcrypt,script
vidar,c2 vidar
mirai,mirai opendir sh
lumma stealer,lnk lummastealer
mirai,mirai script
cobalt strike,agenttesla
asyncrat,asyncrat xworm
redline stealer,redlinestealer snakekeylogger
lumma stealer,lummastealer opendir
asyncrat,asyncrat stormkitty
redline stealer,exe redlinestealer
bumblebee,shellscript
asyncrat,asyncrat docx
bitrat,bitrat stub
njrat,njrat stub
sliver,sliver stealer
lumma stealer,lummastealer xclient
lumma stealer,lummastealer zip
lumma stealer,lummastealer meduzastealer zip
redline stealer,bat redlinestealer
asyncrat,asyncrat bat
azorult,infostealer
dcrat,darkylock njrat ransomware
dcrat,darkylock ransomware
socks5 systemz,socks5systemz
bashlite,gafgyt script
fakeupdates,fake alert pdf
amos,amos dmg macos redir 302 us safari
amos,amos dmg macos redir 302 ua safari
dcrat,dcrat neshta
ahmyth,ahmyth apk  c2 l3mon manager
meduza stealer,meduza meduzastealer
njrat,njrat rev base64 loader trojan
asyncrat,asyncrat paste ee rev base64 loader
cobalt strike,agenttesla discordapp
ave maria,avemariarat bitbucket
amadey,amadey exe redlinestealer stealc
amadey,amadey exe lummastealer redlinestealer stealc
netsupportmanager rat,netsupport opendir
cobalt strike,cobaltstrike opendir
redline stealer,opendir stealer
asyncrat,asyncrat bad service malware of spreading loads
cobalt strike,cobaltstrike meterpreter
amos,ascii lummastealer
cobalt strike,cobaltstrike exe malware
dcrat,dcrat exe github
asyncrat,asyncrat base64 rev base64 loader
amadey,amadey exe github
asyncrat,asyncrat cryptbot exe
cryptbot,cryptbot exe
satacom,koiloader
asyncrat,asyncrat client exe rat
orcus rat,exe orcusrat
bianlian,bin
asyncrat,asyncrat base64 bitbucket encoded exe rev base64 loader reversed
quasar rat,exe quasarrat
rhadamanthys,rhadamanthys spam ita
loki password stealer  pws,loki remcosrat
rhadamanthys,lnk rhadamanthys
azorult,pif stealer
cobalt strike,cobaltstrike shellcode
loki password stealer  pws,loki remcosrat rev base64 loader
mirai,mirai ua wget
bumblebee,bumblebee msi
bumblebee,bumblebee lnk zip
netsupportmanager rat,netsupportrat smartapesg zip
bashlite,bash wget
asyncrat,asyncrat iso
remcos,rat remcosrat
asyncrat,asyncrat exe xworm
asyncrat,asyncrat purecrypter
lumma stealer,lummastealer rhadamanthys
n w0rm,vjw0rm
stealc,stealer trojan
asyncrat,asyncrat pw qau741 qau741
mirai,mirai sh sora
bashlite,gafgyt sc on sh snype
mirai,mirai sh webserverpirata
mirai,mirai opendir sh ua wget
mirai,mirai sh
mirai,mirai py
darkcomet,darkgate
asyncrat,asyncrat opendir
fakeupdates,fakeupdate lnk ua wget
asyncrat,asyncrat exe github
cryptbot,cryptbot gcleaner nymaim
asyncrat,asyncrat cryptbot
asyncrat,asyncrat hg71yg3 pw hg71yg3
bashlite,gafgyt mirai
cobalt strike,cobaltstrike exe opendir
cobalt strike,cobalt strike cobaltstrike exe opendir
mirai,mirai py ua wget
azorult,py stealer
asyncrat,asyncrat mac741 pw mac741
quasar rat,exe quasarrat zip
kaiji,kaiji opendir sh
asyncrat,asyncrat g2024fg pw g2024fg
asyncrat,asyncrat gy73vf5 pw gy73vf5
asyncrat,asyncrat python zip
asyncrat,asyncrat python strelastealer zip
bumblebee,sh
asyncrat,asyncrat pw tup875 tup875
asyncrat,asyncrat rev base64 loader
njrat,njrat rev base64 loader
asyncrat,asyncrat gt63fr4 pw gt63fr4
remcos,remcos remcosrat vbs
sectoprat,arechclient2
lumma stealer,lummastealer meduzastealer
redline stealer,encoded stealer
asyncrat,asyncrat base64 encoded exe rev base64 loader
asyncrat,asyncrat base64 bitbucket encoded exe rev base64 loader
asyncrat,asyncrat opendir vbs
remcos,rat remcos vbs
havoc,hta loki
cobalt strike,agenttesla hta
asyncrat,asyncrat multas2024 pw multas2024
asyncrat,asyncrat fiscalia2024 pw fiscalia2024
sliver,silverfox
cobalt strike,cobaltstrike malware
cobalt strike,cobaltstrike malware opendir
asyncrat,asyncrat pw gt79df3
ghost rat,gh0strat malware open dir
danabot,danabot malware open dir
cobalt strike,cobalt strike malware open dir
asyncrat,asyncrat pw 12nov2024esm svg
asyncrat,asyncrat pw 06nov2024esm svg
asyncrat,asyncrat pw 07nov2024esm svg
asyncrat,asyncrat pw 05nov2024esm svg
asyncrat,asyncrat pw 29oct2024esm svg
fakeupdates,fakecaptcha lummastealer
reverserat,dlr webserverpirata
mirai,mirai opendir sh webserverpirata
rhadamanthys,js rhadamanthys
asyncrat,asyncrat wsgidav xworm
asyncrat,asyncrat strelastealer wsgidav xworm
asyncrat,asyncrat strelastealer xworm
mirai,mirai perl py tsunami webserverpirata
mirai,mirai opendir sh webserverpirata yakuza
asyncrat,asyncrat pw lop852
lumma stealer,lumma zip
cobalt strike,cobaltstrike ua wget
lumma stealer,lummastealer rel1gitiger cyou
bashlite,gafgyt isis opendir sh
cobalt strike,agenttesla vbs
netsupportmanager rat,netsupport netsupportmodules netsupportrat netsupportratmodules zip
asyncrat,asyncrat pw xcv321 xcv321
bashlite,gafgyt sc on sh
dcrat,dcrat opendir
ghost rat,gh0strat keylogger
asyncrat,asyncrat formbook xworm
bashlite,gafgyt ua wget
stealc,stealc vidar
amadey,amadey strelastealer
asyncrat,asyncrat rev base64 loader txt
nanocore rat,nanocore rev base64 loader txt
loki password stealer  pws,loki rev base64 loader
lumma stealer,lumma
pony,ponynet
bitrat,abstract
loki password stealer  pws,burnsrat
redline stealer,redline
gomorrah stealer,gomorrah
reverserat,reverse shell
